ID,Name,Type,URL,Rate Limit,Enabled,Last Test,Status
akshare_stock_a,AKShare A股数据,股票数据,https://akshare.akfamily.xyz,1次/小时,True,2026-01-01 11:25:13,连接超时
akshare_stock_hk,AKShare 港股数据,股票数据,https://akshare.akfamily.xyz,100次/分钟,True,2026-01-01 11:25:30,连接超时
akshare_index,AKShare 指数数据,指数数据,https://akshare.akfamily.xyz,100次/分钟,True,2025-12-31 22:56:15,HTTP 200 - 连接正常
akshare_bond,AKShare 债券数据,债券数据,https://akshare.akfamily.xyz,100次/分钟,True,2025-12-31 22:55:44,HTTP 200 - 连接正常
akshare_futures,AKShare 期货数据,期货数据,https://akshare.akfamily.xyz,100次/分钟,True,2025-12-31 22:55:49,HTTP 200 - 连接正常
akshare_forex,AKShare 外汇数据,外汇数据,https://akshare.akfamily.xyz,100次/分钟,True,2025-12-31 22:55:53,HTTP 200 - 连接正常
akshare_macro,AKShare 宏观经济数据,宏观经济,https://akshare.akfamily.xyz,100次/分钟,True,2025-12-31 22:57:44,HTTP 200 - 连接正常
akshare_macro_china,AKShare 中国宏观经济数据,宏观经济,https://akshare.akfamily.xyz,100次/分钟,True,2025-12-31 22:56:12,HTTP 200 - 连接正常
akshare_macro_usa,AKShare 美国宏观经济数据,宏观经济,https://akshare.akfamily.xyz,100次/分钟,True,2025-12-31 22:56:21,HTTP 200 - 连接正常
akshare_news_js,AKShare 金十新闻,财经新闻,https://akshare.akfamily.xyz,100次/分钟,True,2026-01-01 11:53:54,连接超时
akshare_news_sina,AKShare 新浪财经新闻,财经新闻,https://akshare.akfamily.xyz,100次/分钟,True,2026-01-01 12:23:16,HTTP 200 - 连接正常
akshare_news_wallstreet,AKShare 华尔街见闻,财经新闻,https://akshare.akfamily.xyz,100次/分钟,True,2026-01-01 12:48:35,HTTP 200 - 连接正常
akshare_news_eastmoney,AKShare 东方财富新闻,财经新闻,https://akshare.akfamily.xyz,100次/分钟,True,,未测试
akshare_news_all,AKShare 全量新闻数据,财经新闻,https://akshare.akfamily.xyz,100次/分钟,True,,未测试
financial_reports_a,A股财务报表数据,财务报告,https://financial-reports-api.com,50次/分钟,True,2025-12-31 22:57:09,网络连接失败: Cannot connect to host financial-reports-api.com:443 ssl:default [Name or service not known]
